Media Backup Manager 1.6.8 - resolved Cargo package/license inventory
Generated from: cargo metadata --locked --format-version 1
Resolved package records: 503

NAME	VERSION	DECLARED LICENSE	REPOSITORY
egui_glow	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui/tree/master/crates/egui_glow
emath	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui/tree/master/crates/emath
encoding_rs	0.8.35	(Apache-2.0 OR MIT) AND BSD-3-Clause	https://github.com/hsivonen/encoding_rs
endi	1.1.1	MIT	https://github.com/zeenix/endi
enumflags2	0.7.12	MIT OR Apache-2.0	https://github.com/meithecatte/enumflags2
enumflags2_derive	0.7.12	MIT OR Apache-2.0	https://github.com/meithecatte/enumflags2
epaint	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui/tree/master/crates/epaint
epaint_default_fonts	0.29.1	(MIT OR Apache-2.0) AND OFL-1.1 AND LicenseRef-UFL-1.0	https://github.com/emilk/egui/tree/master/crates/epaint_default_fonts
equivalent	1.0.2	Apache-2.0 OR MIT	https://github.com/indexmap-rs/equivalent
errno	0.3.14	MIT OR Apache-2.0	https://github.com/lambda-fairy/rust-errno
error-code	3.4.0	BSL-1.0	https://github.com/DoumanAsh/error-code
event-listener	5.4.2	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener
event-listener-strategy	0.5.4	Apache-2.0 OR MIT	https://github.com/smol-rs/event-listener-strategy
fastrand	2.5.0	Apache-2.0 OR MIT	https://github.com/smol-rs/fastrand
fdeflate	0.3.7	MIT OR Apache-2.0	https://github.com/image-rs/fdeflate
find-msvc-tools	0.1.11	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
flate2	1.1.9	MIT OR Apache-2.0	https://github.com/rust-lang/flate2-rs
fnv	1.0.7	Apache-2.0 / MIT	https://github.com/servo/rust-fnv
foldhash	0.1.5	Zlib	https://github.com/orlp/foldhash
foreign-types	0.3.2	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
foreign-types	0.5.0	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
foreign-types-macros	0.2.4	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
foreign-types-shared	0.1.1	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
foreign-types-shared	0.3.1	MIT/Apache-2.0	https://github.com/sfackler/foreign-types
form_urlencoded	1.2.2	MIT OR Apache-2.0	https://github.com/servo/rust-url
futures-channel	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-core	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-io	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-lite	2.6.1	Apache-2.0 OR MIT	https://github.com/smol-rs/futures-lite
futures-macro	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-sink	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-task	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
futures-util	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/futures-rs
generic-array	0.14.7	MIT	https://github.com/fizyk20/generic-array.git
gethostname	1.1.0	Apache-2.0	https://codeberg.org/swsnr/gethostname.rs.git
getrandom	0.2.17	MIT OR Apache-2.0	https://github.com/rust-random/getrandom
getrandom	0.3.4	MIT OR Apache-2.0	https://github.com/rust-random/getrandom
getrandom	0.4.3	MIT OR Apache-2.0	https://github.com/rust-random/getrandom
gl_generator	0.14.0	Apache-2.0	https://github.com/brendanzab/gl-rs/
glow	0.13.1	MIT OR Apache-2.0 OR Zlib	https://github.com/grovesNL/glow
glow	0.14.2	MIT OR Apache-2.0 OR Zlib	https://github.com/grovesNL/glow
glutin	0.32.3	Apache-2.0	https://github.com/rust-windowing/glutin
glutin-winit	0.5.0	MIT	https://github.com/rust-windowing/glutin
glutin_egl_sys	0.7.1	Apache-2.0	https://github.com/rust-windowing/glutin
glutin_glx_sys	0.6.1	Apache-2.0	https://github.com/rust-windowing/glutin
glutin_wgl_sys	0.6.1	Apache-2.0	https://github.com/rust-windowing/glutin
gpu-alloc	0.6.2	MIT OR Apache-2.0	https://github.com/zakarumych/gpu-alloc
gpu-alloc-types	0.3.1	MIT OR Apache-2.0	https://github.com/zakarumych/gpu-alloc
gpu-allocator	0.26.0	MIT OR Apache-2.0	https://github.com/Traverse-Research/gpu-allocator
gpu-descriptor	0.3.2	MIT OR Apache-2.0	https://github.com/zakarumych/gpu-descriptor
gpu-descriptor-types	0.2.0	MIT OR Apache-2.0	https://github.com/zakarumych/gpu-descriptor
h2	0.4.19	MIT	https://github.com/hyperium/h2
hashbrown	0.15.5	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
hashbrown	0.17.1	MIT OR Apache-2.0	https://github.com/rust-lang/hashbrown
hassle-rs	0.11.0	MIT	https://github.com/Traverse-Research/hassle-rs
hermit-abi	0.5.2	MIT OR Apache-2.0	https://github.com/hermit-os/hermit-rs
hex	0.4.3	MIT OR Apache-2.0	https://github.com/KokaKiwi/rust-hex
hexf-parse	0.2.1	CC0-1.0	https://github.com/lifthrasiir/hexf
http	1.5.0	MIT OR Apache-2.0	https://github.com/hyperium/http
http-body	1.1.0	MIT	https://github.com/hyperium/http-body
http-body-util	0.1.5	MIT	https://github.com/hyperium/http-body
httparse	1.10.1	MIT OR Apache-2.0	https://github.com/seanmonstar/httparse
hyper	1.11.0	MIT	https://github.com/hyperium/hyper
hyper-rustls	0.27.9	Apache-2.0 OR ISC OR MIT	https://github.com/rustls/hyper-rustls
hyper-tls	0.6.0	MIT/Apache-2.0	https://github.com/hyperium/hyper-tls
hyper-util	0.1.20	MIT	https://github.com/hyperium/hyper-util
iana-time-zone	0.1.65	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	https://github.com/strawlab/iana-time-zone
icu_collections	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_locale_core	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_normalizer	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_normalizer_data	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_properties	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_properties_data	2.3.0	Unicode-3.0	https://github.com/unicode-org/icu4x
icu_provider	2.3.1	Unicode-3.0	https://github.com/unicode-org/icu4x
idna	1.1.0	MIT OR Apache-2.0	https://github.com/servo/rust-url/
idna_adapter	1.2.2	Apache-2.0 OR MIT	https://github.com/hsivonen/idna_adapter
image	0.25.10	MIT OR Apache-2.0	https://github.com/image-rs/image
image-webp	0.2.4	MIT OR Apache-2.0	https://github.com/image-rs/image-webp
immutable-chunkmap	2.1.3	Apache-2.0 OR MIT	https://github.com/estokes/immutable-chunkmap
indexmap	2.14.0	Apache-2.0 OR MIT	https://github.com/indexmap-rs/indexmap
ipnet	2.12.1	MIT OR Apache-2.0	https://github.com/krisprice/ipnet
itoa	1.0.18	MIT OR Apache-2.0	https://github.com/dtolnay/itoa
jni	0.22.4	MIT OR Apache-2.0	https://github.com/jni-rs/jni-rs
jni-macros	0.22.4	MIT OR Apache-2.0	https://github.com/jni-rs/jni-rs
jni-sys	0.3.1	MIT OR Apache-2.0	https://github.com/jni-rs/jni-sys
jni-sys	0.4.1	MIT OR Apache-2.0	https://github.com/jni-rs/jni-sys
jni-sys-macros	0.4.1	MIT OR Apache-2.0	https://github.com/jni-rs/jni-sys
jobserver	0.1.35	MIT OR Apache-2.0	https://github.com/rust-lang/jobserver-rs
js-sys	0.3.104	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/js-sys
kamadak-exif	0.6.1	BSD-2-Clause	https://github.com/kamadak/exif-rs
khronos-egl	6.0.0	MIT/Apache-2.0	https://github.com/timothee-haudebourg/khronos-egl
khronos_api	3.1.0	Apache-2.0	https://github.com/brendanzab/gl-rs/
libc	0.2.189	MIT OR Apache-2.0	https://github.com/rust-lang/libc
libloading	0.8.9	ISC	https://github.com/nagisa/rust_libloading/
libredox	0.1.20	MIT	https://gitlab.redox-os.org/redox-os/libredox.git
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/sunfishcode/linux-raw-sys
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/sunfishcode/linux-raw-sys
litemap	0.8.3	Unicode-3.0	https://github.com/unicode-org/icu4x
litrs	1.0.0	MIT OR Apache-2.0	https://github.com/LukasKalbertodt/litrs
lock_api	0.4.14	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
log	0.4.34	MIT OR Apache-2.0	https://github.com/rust-lang/log
lru-slab	0.1.2	MIT OR Apache-2.0 OR Zlib	https://github.com/Ralith/lru-slab
malloc_buf	0.0.6	MIT	https://github.com/SSheldon/malloc_buf
media_backup_manager	1.6.8	GPL-3.0-only	https://github.com/olmos-cmd/Media-Backup-Manager-for-immich
memchr	2.8.3	Unlicense OR MIT	https://github.com/BurntSushi/memchr
memmap2	0.9.11	MIT OR Apache-2.0	https://github.com/RazrFalcon/memmap2-rs
memoffset	0.9.1	MIT	https://github.com/Gilnaa/memoffset
metal	0.29.0	MIT OR Apache-2.0	https://github.com/gfx-rs/metal-rs
mime	0.3.17	MIT OR Apache-2.0	https://github.com/hyperium/mime
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0	https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide
mio	1.2.2	MIT	https://github.com/tokio-rs/mio
moxcms	0.8.1	BSD-3-Clause OR Apache-2.0	https://github.com/awxkee/moxcms.git
mutate_once	0.1.2	BSD-2-Clause	https://github.com/kamadak/mutate_once-rs
naga	22.1.0	MIT OR Apache-2.0	https://github.com/gfx-rs/wgpu/tree/trunk/naga
native-tls	0.2.18	MIT OR Apache-2.0	https://github.com/rust-native-tls/rust-native-tls
ndk	0.9.0	MIT OR Apache-2.0	https://github.com/rust-mobile/ndk
ndk-context	0.1.1	MIT OR Apache-2.0	https://github.com/rust-windowing/android-ndk-rs
ndk-sys	0.5.0+25.2.9519653	MIT OR Apache-2.0	https://github.com/rust-mobile/ndk
ndk-sys	0.6.0+11769913	MIT OR Apache-2.0	https://github.com/rust-mobile/ndk
nix	0.29.0	MIT	https://github.com/nix-rust/nix
nohash-hasher	0.2.0	Apache-2.0 OR MIT	https://github.com/paritytech/nohash-hasher
num-traits	0.2.19	MIT OR Apache-2.0	https://github.com/rust-num/num-traits
num_enum	0.7.6	BSD-3-Clause OR MIT OR Apache-2.0	https://github.com/illicitonion/num_enum
num_enum_derive	0.7.6	BSD-3-Clause OR MIT OR Apache-2.0	https://github.com/illicitonion/num_enum
objc	0.2.7	MIT	http://github.com/SSheldon/rust-objc
objc-sys	0.3.5	MIT	https://github.com/madsmtm/objc2
objc2	0.5.2	MIT	https://github.com/madsmtm/objc2
objc2	0.6.4	MIT	https://github.com/madsmtm/objc2
objc2-app-kit	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-app-kit	0.3.2	Zlib OR Apache-2.0 OR MIT	https://github.com/madsmtm/objc2
objc2-cloud-kit	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-contacts	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-core-data	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-core-foundation	0.3.2	Zlib OR Apache-2.0 OR MIT	https://github.com/madsmtm/objc2
objc2-core-graphics	0.3.2	Zlib OR Apache-2.0 OR MIT	https://github.com/madsmtm/objc2
objc2-core-image	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-core-location	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-encode	4.1.0	MIT	https://github.com/madsmtm/objc2
objc2-foundation	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-foundation	0.3.2	MIT	https://github.com/madsmtm/objc2
objc2-io-surface	0.3.2	Zlib OR Apache-2.0 OR MIT	https://github.com/madsmtm/objc2
objc2-link-presentation	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-metal	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-quartz-core	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-symbols	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-ui-kit	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-uniform-type-identifiers	0.2.2	MIT	https://github.com/madsmtm/objc2
objc2-user-notifications	0.2.2	MIT	https://github.com/madsmtm/objc2
once_cell	1.21.4	MIT OR Apache-2.0	https://github.com/matklad/once_cell
openssl	0.10.81	Apache-2.0	https://github.com/rust-openssl/rust-openssl
openssl-macros	0.1.1	MIT/Apache-2.0	
openssl-probe	0.2.1	MIT OR Apache-2.0	https://github.com/rustls/openssl-probe
openssl-sys	0.9.117	MIT	https://github.com/rust-openssl/rust-openssl
orbclient	0.3.55	MIT	https://gitlab.redox-os.org/redox-os/orbclient
ordered-stream	0.2.0	MIT OR Apache-2.0	https://github.com/danieldg/ordered-stream
owned_ttf_parser	0.25.1	Apache-2.0	https://github.com/alexheretic/owned-ttf-parser
parking	2.2.1	Apache-2.0 OR MIT	https://github.com/smol-rs/parking
parking_lot	0.12.5	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
parking_lot_core	0.9.12	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
paste	1.0.15	MIT OR Apache-2.0	https://github.com/dtolnay/paste
percent-encoding	2.3.2	MIT OR Apache-2.0	https://github.com/servo/rust-url/
pin-project	1.1.13	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project
pin-project-internal	1.1.13	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project
pin-project-lite	0.2.17	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project-lite
piper	0.2.5	MIT OR Apache-2.0	https://github.com/smol-rs/piper
pkg-config	0.3.34	MIT OR Apache-2.0	https://github.com/rust-lang/pkg-config-rs
plain	0.2.3	MIT/Apache-2.0	https://github.com/randomites/plain
png	0.18.1	MIT OR Apache-2.0	https://github.com/image-rs/image-png
polling	3.11.0	Apache-2.0 OR MIT	https://github.com/smol-rs/polling
pollster	0.4.0	Apache-2.0/MIT	https://github.com/zesterer/pollster
potential_utf	0.1.6	Unicode-3.0	https://github.com/unicode-org/icu4x
ppv-lite86	0.2.21	MIT OR Apache-2.0	https://github.com/cryptocorrosion/cryptocorrosion
presser	0.3.1	MIT OR Apache-2.0	https://github.com/EmbarkStudios/presser
proc-macro-crate	3.5.0	MIT OR Apache-2.0	https://github.com/bkchr/proc-macro-crate
proc-macro2	1.0.107	MIT OR Apache-2.0	https://github.com/dtolnay/proc-macro2
profiling	1.0.18	MIT OR Apache-2.0	https://github.com/aclysma/profiling
pxfm	0.1.30	BSD-3-Clause OR Apache-2.0	https://github.com/awxkee/pxfm
quick-error	2.0.1	MIT/Apache-2.0	http://github.com/tailhook/quick-error
quick-xml	0.30.0	MIT	https://github.com/tafia/quick-xml
quick-xml	0.41.0	MIT	https://github.com/tafia/quick-xml
quinn	0.11.11	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn
quinn-proto	0.11.17	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn
quinn-udp	0.5.15	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn
quote	1.0.47	MIT OR Apache-2.0	https://github.com/dtolnay/quote
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	https://github.com/r-efi/r-efi
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	https://github.com/r-efi/r-efi
rand	0.10.2	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand	0.8.8	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand	0.9.5	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_chacha	0.3.1	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_chacha	0.9.0	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_core	0.10.1	MIT OR Apache-2.0	https://github.com/rust-random/rand_core
rand_core	0.6.4	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_core	0.9.5	MIT OR Apache-2.0	https://github.com/rust-random/rand
rand_pcg	0.10.2	MIT OR Apache-2.0	https://github.com/rust-random/rngs
raw-window-handle	0.6.2	MIT OR Apache-2.0 OR Zlib	https://github.com/rust-windowing/raw-window-handle
redox_syscall	0.4.1	MIT	https://gitlab.redox-os.org/redox-os/syscall
redox_syscall	0.5.18	MIT	https://gitlab.redox-os.org/redox-os/syscall
redox_syscall	0.9.3	MIT	https://gitlab.redox-os.org/redox-os/syscall
renderdoc-sys	1.1.0	MIT OR Apache-2.0	https://github.com/ebkalderon/renderdoc-rs
reqwest	0.12.28	MIT OR Apache-2.0	https://github.com/seanmonstar/reqwest
rfd	0.15.4	MIT	https://github.com/PolyMeilex/rfd
ring	0.17.14	Apache-2.0 AND ISC	https://github.com/briansmith/ring
rustc-hash	1.1.0	Apache-2.0/MIT	https://github.com/rust-lang-nursery/rustc-hash
rustc-hash	2.1.3	Apache-2.0 OR MIT	https://github.com/rust-lang/rustc-hash
rustc_version	0.4.1	MIT OR Apache-2.0	https://github.com/djc/rustc-version-rs
rustix	0.38.44	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/bytecodealliance/rustix
rustix	1.1.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/bytecodealliance/rustix
rustls	0.23.43	Apache-2.0 OR ISC OR MIT	https://github.com/rustls/rustls
rustls-pki-types	1.15.1	MIT OR Apache-2.0	https://github.com/rustls/pki-types
rustls-webpki	0.103.15	ISC	https://github.com/rustls/webpki
rustversion	1.0.23	MIT OR Apache-2.0	https://github.com/dtolnay/rustversion
ryu	1.0.23	Apache-2.0 OR BSL-1.0	https://github.com/dtolnay/ryu
same-file	1.0.6	Unlicense/MIT	https://github.com/BurntSushi/same-file
schannel	0.1.29	MIT	https://github.com/steffengy/schannel-rs
scoped-tls	1.0.1	MIT/Apache-2.0	https://github.com/alexcrichton/scoped-tls
scopeguard	1.2.0	MIT OR Apache-2.0	https://github.com/bluss/scopeguard
sctk-adwaita	0.10.1	MIT	https://github.com/PolyMeilex/sctk-adwaita
security-framework	3.7.0	MIT OR Apache-2.0	https://github.com/kornelski/rust-security-framework
security-framework-sys	2.17.0	MIT OR Apache-2.0	https://github.com/kornelski/rust-security-framework
semver	1.0.28	MIT OR Apache-2.0	https://github.com/dtolnay/semver
serde	1.0.229	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_core	1.0.229	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_derive	1.0.229	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_json	1.0.151	MIT OR Apache-2.0	https://github.com/serde-rs/json
serde_repr	0.1.21	MIT OR Apache-2.0	https://github.com/dtolnay/serde-repr
serde_urlencoded	0.7.1	MIT/Apache-2.0	https://github.com/nox/serde_urlencoded
sha1	0.10.7	MIT OR Apache-2.0	https://github.com/RustCrypto/hashes
shlex	2.0.1	MIT OR Apache-2.0	https://github.com/comex/rust-shlex
signal-hook-registry	1.4.8	MIT OR Apache-2.0	https://github.com/vorner/signal-hook
simd-adler32	0.3.10	MIT	https://github.com/mcountryman/simd-adler32
simd_cesu8	1.2.0	Apache-2.0 OR MIT	https://github.com/seancroach/simd_cesu8
simdutf8	0.1.5	MIT OR Apache-2.0	https://github.com/rusticstuff/simdutf8
slab	0.4.12	MIT	https://github.com/tokio-rs/slab
slotmap	1.1.1	Zlib	https://github.com/orlp/slotmap
smallvec	1.15.2	MIT OR Apache-2.0	https://github.com/servo/rust-smallvec
smithay-client-toolkit	0.19.2	MIT	https://github.com/smithay/client-toolkit
